Id,Street,SubUrb,Government_Area,Market,Country,Country_code,Location_type,longitude,latitude,is_location_exact
1003530,"New York, NY, United States",Manhattan,Upper West Side,New York,United States,US,Point,-73.96523,40.79962,False
10133554,"Fatih , İstanbul, Turkey",Fatih,Fatih,Istanbul,Turkey,TR,Point,28.98009,41.0062,False
10059872,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,Point,114.15027,22.28158,True
10084023,"Hong Kong , 九龍, Hong Kong",Sham Shui Po District,Sham Shui Po,Hong Kong,Hong Kong,HK,Point,114.1669,22.3314,True
10091713,"Surry Hills, NSW, Australia",Darlinghurst,Sydney,Sydney,Australia,AU,Point,151.21554,-33.88029,True
10112159,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,-8.60867,41.1543,False
10096773,"New York, NY, United States",Manhattan,Chelsea,New York,United States,US,Point,-74.00074,40.74577,True
10140368,"Queens, NY, United States",Queens,Briarwood,New York,United States,US,Point,-73.82257,40.71485,True
10021707,"Brooklyn, NY, United States",Brooklyn,Bushwick,New York,United States,US,Point,-73.93615,40.69791,True
10038496,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-43.190849194463404,-22.984339360067814,False
10059244,"Montréal, Québec, Canada",Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,Point,-73.54949,45.54548,False
10116578,"Rio de Janeiro, Rio de Janeiro, Brazil",Laranjeiras,Laranjeiras,Rio De Janeiro,Brazil,BR,Point,-43.1825954762751,-22.930541460367934,False
10009999,"Rio de Janeiro, Rio de Janeiro, Brazil",Jardim Botânico,Jardim Botânico,Rio De Janeiro,Brazil,BR,Point,-43.23074991429229,-22.966253551739655,True
10066928,"Montréal, Québec, Canada",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,-73.57383,45.52233,True
10115921,"Şişli, İstanbul, Turkey",Şişli,Sisli,Istanbul,Turkey,TR,Point,28.98713,41.04841,False
10083468,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,-8.61123,41.15225,False
10117617,"Vila do Conde, Porto, Portugal",,Vila do Conde,Porto,Portugal,PT,Point,-8.75383,41.3596,False
10133350,"New York, NY, United States",Upper East Side,Upper East Side,New York,United States,US,Point,-73.95854,40.7664,False
10051164,"Rio de Janeiro, Rio de Janeiro, Brazil",Catete,Catete,Rio De Janeiro,Brazil,BR,Point,-43.18015675229857,-22.92638234778768,True
10082307,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,114.17158,22.30469,True
10069642,"Rio de Janeiro, Rio de Janeiro, Brazil",Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio De Janeiro,Brazil,BR,Point,-43.4311123147628,-23.00035792660916,False
10108388,"Darlinghurst, NSW, Australia",Darlinghurst,Sydney,Sydney,Australia,AU,Point,151.21346,-33.87603,False
10082422,"Barcelona, Catalunya, Spain",Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,Point,2.16942,41.40082,True
10120414,"New York, NY, United States",Manhattan,Lower East Side,New York,United States,US,Point,-73.98944,40.72063,False
10138784,"Queens, NY, United States",Queens,Jackson Heights,New York,United States,US,Point,-73.88025,40.74953,True
10030955,"Rio de Janeiro, Rio de Janeiro, Brazil",Lagoa,Lagoa,Rio De Janeiro,Brazil,BR,Point,-43.205047082633435,-22.971950988341874,True
10006546,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,-8.61308,41.1413,False
10047964,"Kadıköy, İstanbul, Turkey",Moda,Kadikoy,Istanbul,Turkey,TR,Point,29.03133,40.98585,True
1001265,"Honolulu, HI, United States",Oʻahu,Primary Urban Center,Oahu,United States,US,Point,-157.83919,21.28634,True
10116256,"Şişli, İstanbul, Turkey",Şişli,Sisli,Istanbul,Turkey,TR,Point,28.98818,41.04772,False
10109896,"Rozelle, NSW, Australia",Lilyfield/Rozelle,Leichhardt,Sydney,Australia,AU,Point,151.17956,-33.86296,True
10057447,"Montréal, Québec, Canada",Mile End,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,-73.59111,45.51889,True
10057826,"Brooklyn, NY, United States",Greenpoint,Greenpoint,New York,United States,US,Point,-73.94472,40.72778,True
10092679,"Beyoğlu, İstanbul, Turkey",Beyoglu,Beyoglu,Istanbul,Turkey,TR,Point,28.95825,41.03777,False
10228731,"Rio de Janeiro, Rio de Janeiro, Brazil",Tijuca,Tijuca,Rio De Janeiro,Brazil,BR,Point,-43.247421907135774,-22.936203246553816,False
1019168,"Montreal, QC, Canada",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,-73.58774,45.52028,True
