Id,Availability_30,Availability_60,Availability_90,Availability_365
1003530,0,0,0,93
10133554,30,60,90,365
10059872,0,0,0,0
10084023,14,24,40,220
10091713,0,0,0,0
10112159,30,60,87,359
10096773,0,0,0,0
10140368,20,29,29,34
10021707,0,0,0,0
10038496,7,19,33,118
10059244,0,0,0,32
10116578,30,60,90,365
10009999,0,0,0,0
10066928,0,0,0,0
10115921,30,60,90,365
10083468,16,40,67,335
10117617,0,0,0,46
10133350,0,0,0,0
10051164,10,10,21,296
10082307,30,60,90,365
10069642,0,0,0,0
10108388,5,16,35,265
10082422,0,0,0,0
10120414,0,0,0,0
10138784,30,60,90,365
10030955,28,58,88,363
10006546,28,47,74,239
10047964,27,57,87,362
1001265,16,46,76,343
10116256,30,60,90,365
10109896,0,0,0,0
10057447,0,0,0,0
10057826,30,31,31,243
10092679,3,19,37,37
10228731,28,58,88,178
1019168,0,0,0,0
10240767,18,41,67,339
1022200,0,13,43,196
10227000,30,60,90,365
10186755,30,60,90,365
10141950,0,0,0,0
10184012,30,60,90,365
10233856,30,60,90,145
10215858,20,50,80,135
10199760,30,60,90,365
10201975,24,54,84,174
10213499,0,0,25,26
10264100,11,41,71,247
10209136,0,0,0,0
10220130,0,0,0,0
10166986,0,0,0,0
10166883,0,0,0,0
1016739,0,0,19,20
10295352,0,0,0,0
10267144,18,40,70,345
10266175,0,3,16,246
10299095,0,0,0,0
103161,28,58,88,363
10269320,13,43,62,278
102995,0,3,5,5
10280433,20,45,75,165
10306879,28,58,88,363
10423504,0,0,0,0
10359729,0,0,0,0
10317142,10,17,26,229
10578580,3,26,53,323
10664888,3,12,24,243
10542174,0,0,0,0
10570041,17,47,77,342
1038163,17,36,55,317
10448594,0,0,0,27
10487917,16,42,61,309
10488837,30,60,90,365
1069531,3,5,11,276
10545725,0,0,0,0
10332161,0,0,0,0
10612199,5,35,65,339
10471178,30,60,90,365
10519173,22,52,82,172
10677883,23,53,83,358
10373872,0,11,41,316
10548991,11,37,48,267
10596036,0,0,0,0
1067052,20,47,77,352
10431455,0,0,0,0
10459480,30,60,90,365
10486984,18,29,51,326
10648267,0,0,0,0
10675315,0,0,0,0
10354347,30,60,90,365
10383490,30,60,90,365
10628126,5,25,46,214
10639317,0,0,0,0
10552362,0,0,0,0
1036027,0,10,15,264
10343118,20,50,80,170
10324377,22,52,82,357
1042446,5,26,35,228
10624493,0,0,0,0
10415637,24,45,60,309
10527212,30,60,90,365
10573225,6,10,12,204
1068505,5,35,64,64
10381879,28,58,88,347
1063491,12,26,49,317
10458796,0,3,3,3
10449328,30,60,90,365
10416859,0,0,0,0
10392282,12,27,53,321
10581101,19,32,48,211
10635276,0,0,0,0
10659534,0,0,0,0
1066648,23,53,83,358
1047087,30,60,90,365
10527243,12,39,65,65
10545815,1,6,8,168
10560325,0,16,46,314
10411341,3,18,41,316
10558807,13,16,27,174
1058555,23,44,74,336
10671783,0,0,0,0
1074008,30,60,90,365
10802909,8,14,27,253
10742116,10,10,22,297
1073607,0,0,0,232
1079887,8,10,15,280
10751153,29,59,84,359
10752737,0,0,0,0
10706900,11,41,63,329
1070322,19,27,38,289
1077686,30,60,90,365
10782351,8,38,68,343
10716793,0,0,0,0
10908640,0,0,0,0
10887852,1,1,1,66
10828339,30,60,90,180
10840938,7,24,47,306
10839973,30,60,85,360
10816768,4,10,30,108
10812136,0,0,0,0
10893326,0,0,0,0
10857454,13,16,30,198
10855800,0,0,0,0
10852990,23,53,83,358
10819035,30,60,90,365
10862541,0,0,0,0
1090153,28,58,88,363
1089542,15,42,42,100
10839801,19,22,50,140
10850008,30,60,87,267
10911771,0,0,0,32
1092760,1,9,25,300
10948197,28,58,88,88
10932304,13,18,37,312
10977704,9,32,62,62
1095174,5,21,40,215
10992286,30,60,85,360
1104768,10,29,52,295
11007058,14,44,74,283
10990260,30,60,90,365
1101035,11,17,30,276
11055163,0,26,56,236
11095139,23,53,83,173
11097962,28,53,82,357
1098211,0,0,0,0
11093339,2,10,21,272
11007542,29,59,89,364
10985735,0,0,0,0
11006512,18,48,78,287
11012484,0,0,0,0
10992671,29,59,89,364
11005300,0,7,13,117
11080033,0,0,0,0
11131495,22,52,82,357
11108923,14,26,52,258
11157167,0,0,0,0
1112838,12,15,23,127
11153910,0,0,0,100
11197217,7,11,11,12
11319047,13,20,42,257
11378656,30,60,90,365
11480835,0,0,0,0
11567815,0,0,0,0
11648810,0,0,0,0
11207193,1,3,15,142
11264406,0,0,0,42
1136399,0,0,0,0
11379251,19,48,78,353
1138483,14,35,43,125
11510109,29,50,55,216
11695637,0,0,0,0
11335874,0,0,0,0
11406680,16,46,76,351
11459525,3,14,44,130
1146653,30,60,90,365
11488558,28,58,88,363
11533406,0,0,0,0
1153834,23,53,83,358
11145180,0,0,0,92
11194486,0,0,0,0
1145567,30,60,90,365
11146498,30,60,90,365
11223389,2,5,27,115
1143151,7,22,51,322
1144090,8,30,40,275
11115528,16,40,70,324
11447743,6,11,16,266
11472884,0,0,0,0
11409841,7,30,53,322
11567179,0,0,0,0
11679106,30,60,90,365
11693193,29,42,62,138
11194788,30,60,90,365
11396243,0,0,0,0
11442936,0,0,0,0
11553357,30,53,70,345
11695887,4,27,57,305
11113983,30,60,90,365
11136898,21,36,60,333
1111410,14,25,39,194
1129061,4,6,15,182
11553333,7,7,16,180
11679012,4,4,4,214
11364106,0,0,0,0
1139810,10,19,26,92
11703559,4,4,10,183
11648362,0,0,0,0
1169088,2,10,28,223
11242147,1,7,23,291
11191242,0,0,0,0
11193311,28,58,83,358
1127954,0,0,0,0
1131054,0,0,0,157
11387183,30,60,90,365
11656239,30,60,90,365
11690230,27,57,87,362
11413023,12,23,32,259
11420459,0,0,0,0
11464859,9,19,32,284
11566403,0,9,30,143
1132409,3,3,16,16
11144250,2,32,62,336
1117706,0,0,0,0
11444539,23,53,75,75
11552866,28,58,88,363
1155475,14,21,36,245
1163119,0,6,36,311
116931,0,0,0,193
11610598,9,30,55,133
11667313,0,0,0,0
11695437,2,6,16,135
11568230,0,0,0,36
11602050,5,35,65,340
11603201,0,0,0,0
11557363,17,47,77,348
1155885,4,10,20,270
11567997,0,3,3,3
11688660,0,0,0,0
11098708,6,27,57,57
11130156,30,60,90,365
11305966,0,0,0,0
1148978,30,60,90,365
11719579,0,0,0,0
11716047,0,0,0,252
11740322,2,27,45,109
11764681,0,0,0,180
117425,0,0,1,219
11757719,30,60,90,365
11708,7,14,33,33
11753116,14,15,15,15
11715762,30,60,90,180
11727255,0,0,0,0
11737940,28,58,88,88
1176693,12,29,59,293
11871088,9,30,49,289
11933497,0,0,0,0
11778959,0,0,0,0
11840338,26,56,86,361
11948705,30,60,90,365
12008712,28,58,88,178
11939367,22,45,68,343
12014026,0,0,0,0
1185644,11,14,25,80
11834359,0,0,0,45
11835516,30,60,90,365
11918738,5,11,17,158
11953606,28,58,88,88
11792238,0,0,0,0
11914814,0,0,0,0
11860047,19,49,79,354
11860692,0,0,0,0
11948645,10,39,69,323
11935301,0,0,0,0
11921637,0,0,0,0
1198074,8,18,35,217
12027124,18,48,78,353
11890476,29,59,89,364
11806776,0,0,0,0
11778475,4,8,33,117
11902059,17,47,77,352
11945972,0,0,0,0
11963985,27,57,87,362
12004365,0,0,0,0
11817249,2,6,8,143
1188839,2,16,41,316
11848397,7,29,41,154
1182474,13,43,73,95
1182475,14,35,65,340
11846549,25,53,80,155
11936451,0,0,0,0
1195977,23,53,83,358
12010910,0,0,0,0
1201871,2,5,21,255
11863943,0,0,0,145
12046370,0,0,0,199
11796483,27,57,87,267
11894971,0,0,0,0
11987001,28,58,86,233
11993586,15,41,64,337
12003707,0,0,0,0
11779701,0,0,0,0
11816864,0,0,0,0
12007662,0,0,0,0
11835169,2,14,29,179
11841749,0,0,0,0
1200438,3,15,21,103
1206363,13,36,63,232
1206820,29,59,89,364
12091977,30,60,90,365
12083780,5,15,28,222
12097507,12,29,53,328
1211274,1,3,9,129
12104860,0,0,0,0
12080961,0,0,0,0
12098138,0,0,0,0
1209353,13,33,60,210
12068078,30,60,90,365
12091894,21,51,81,356
12088301,30,60,90,365
